598360,Çelikhan (Adýyaman),37.99,38.394,10.1,1.5,2023-08-10 14:55:09
598351,Ege Denizi - [13.02 km] Ayvacýk (Çanakkale),39.382,26.28,16.73,1.9,2023-08-10 14:02:31
598359,Keles (Bursa),39.875,29.384,6.99,1.4,2023-08-10 13:59:00
598356,Elbistan (Kahramanmaraþ),38.401,37.235,12.15,2.2,2023-08-10 13:55:02
598358,Akdeniz - [49.21 km] Kaþ (Antalya),35.834,29.27,19.46,2.3,2023-08-10 13:52:40
598352,Çelikhan (Adýyaman),38.102,38.44,12.45,2.1,2023-08-10 13:20:13
598355,Pütürge (Malatya),38.174,38.7,7.0,1.4,2023-08-10 13:18:26
598357,Doðanþehir (Malatya),38.19,37.83,9.21,1.4,2023-08-10 13:16:09
598350,Kaynaþlý (Düzce),40.804,31.363,7.0,1.6,2023-08-10 12:53:20
598349,Pütürge (Malatya),38.161,38.672,12.18,3.6,2023-08-10 11:48:14
